(1, 419-988-2115, 45.85029, France, Thiers, 63304 CEDEX)
(876, 864-937-2547, 57.4395298, Sweden, Onsala, 439 37)
(877, 674-172-3282, 22.529403, China, Hekou, )
(878, 160-412-6575, 49.8788895, Luxembourg, Bettendorf, L-9359)
(879, 134-882-9940, , Poland, Trzebiatów, 72-321)
(880, 137-521-6973, 41.1242621, Portugal, Quintã, 5100-724)
(881, , -8.5891214, , , )
(882, 307-443-3122, 44.2298189, Canada, Keswick, L4P)
(883, 776-331-8596, 27.932747, China, Longwan, )
(884, 200-139-1396, 13.533238, Gambia, Sara Kunda, )
(885, 722-363-4448, 16.6078107, Thailand, Khon San, 36180)
(886, 312-369-6070, 24.874132, China, Qianzhou, )
(887, 719-827-1562, 52.6225919, Russia, Abaza, 655752)
(888, 445-735-0009, -24.6079128, South Africa, Modimolle, 0539)
(889, 924-981-7057, 49.6220895, France, Yvetot, 76194 CEDEX)
(890, 251-697-0968, -8.1916, Indonesia, Bungalaleng, )
(891, , 39.0063718, , , )
(892, 415-538-4010, 37.7794055, United States, San Francisco, 94159)
(893, 405-603-3477, 38.290338, Portugal, Torrão, 7595-048)
(894, 793-652-0753, -6.2291489, Indonesia, Nahura, )
(895, 590-544-8170, 9.3507596, Venezuela, Zaraza, )
(896, 479-651-2546, -21.4206681, Namibia, Omaruru, )
(897, 834-642-6417, 22.141482, China, Guishan, )
(898, 976-325-7811, 65.3436554, Sweden, Piteå, 941 65)
(899, 591-236-4328, 19.4458447, Mexico, Buenavista, 39250)
(900, 704-563-2848, 25.075123, China, Longbu, )
(901, 426-755-1789, 8.4009121, Colombia, Pueblo Nuevo, 233009)
(902, 806-146-1292, -7.4, Indonesia, Cikaso, )
(903, 401-480-8143, 44.5140354, Russia, Poputnaya, 352251)
(904, , 25.1151759, , , )
(905, 568-459-3770, -7.1737343, Peru, Pacanga, )
(906, 319-954-9691, 40.0233496, Portugal, Orvalho, 6185-302)
(907, , 18.4670158, , , 10208)
(908, 361-394-3636, 14.5662555, China, Maojia, )
(909, 762-570-9542, 11.5358447, Philippines, Biliran, 6549)
(910, 547-738-6451, , Mexico, Primero de Mayo, 27944)
(911, 138-780-4948, 57.8512804, Russia, Luga, 412292)
(912, 382-607-5184, 25.6829687, China, Zhonghe, )
(913, 342-905-3203, 40.7760704, Armenia, Shahumyan, )
(914, 643-546-4588, 53.4698755, Russia, Khvastovichi, 249360)
(915, 458-882-2460, 12.4544798, Nigeria, Dutsin Ma, )
(916, 443-566-4431, 16.6143698, Mauritania, Néma, )
(917, 977-314-7608, 32.837949, Israel, ‘Eilabun, )
(918, 387-348-4033, 27.5277132, Iran, Qal‘eh Ganj, )
(919, , 38.7519042, , , 2755-123)
(920, 819-277-5829, -7.4331, Indonesia, Nangkaruka, )
(921, 238-613-0817, 31.2303904, China, Shanghu, )
(922, 518-255-1422, 42.8129576, United States, Schenectady, 12305)
(923, 218-827-6409, 54.9428925, Russia, Pionerskiy, 238590)
(924, 206-619-4087, 47.6060781, United States, Seattle, 98185)
(925, 543-715-7836, -7.3003622, Indonesia, Sugihwaras, )
(926, 228-110-7706, -22.2188934, Brazil, Regente Feijó, 19570-000)
(927, 836-387-3412, -11.5741352, Peru, Chancay, )
(928, 994-664-5505, 41.3815799, Albania, Bërxull, )
(929, , -21.2001343, , , )
(930, 500-141-7466, 28.924088, China, Moluo, )
(931, , -7.2630131, , , )
(932, 470-914-0137, 67.8256178, Sweden, Kiruna, 981 80)
(933, 266-686-9992, -8.5392331, Indonesia, Sikur, )
(934, 803-687-3003, 30.610203, Israel, Mitzpe Ramon, )
(935, 105-492-3415, -0.9583345, Ecuador, Pujilí, )
(936, 505-663-0962, 49.7365816, Poland, Stryszawa, 34-205)
(937, 825-190-6138, -7.4066528, Indonesia, Cipari, )
(938, 880-931-4311, 37.509395, China, Hongxi, )
(939, 882-246-2232, 40.9981633, Azerbaijan, Qutqashen, )
(940, 785-727-3551, 30.7366196, Japan, Nishinoomote, 891-3101)
(941, 191-536-6269, 44.1675867, France, Lille, 59859 CEDEX)
(942, 405-268-3719, -38.9156735, Argentina, San Antonio Oeste, 8520)
(943, 206-705-6191, 43.6264177, France, Sophia Antipolis, 06905 CEDEX)
(944, 896-606-6198, 30.019858, China, Dingzhai, )
(945, 137-466-3294, 52.2445931, Russia, Irkutsk, 664082)
(946, 399-227-9054, 23.394916, China, Baitang, )
(947, 102-158-0881, 49.5706463, France, Laon, 02004 CEDEX)
(948, 808-610-8748, 49.1168862, Czech Republic, Želešice, 664 43)
(949, 670-845-4737, 45.1749035, France, Saint-Marcellin, 38164 CEDEX)
(950, 305-706-0430, 49.9454719, Poland, Czudec, 38-120)
(951, 154-936-3611, 57.7316019, Sweden, Göteborg, 402 57)
(952, 281-740-6574, 47.0165054, Sweden, Stockholm, 105 32)
(953, 952-849-2980, 9.7817, Philippines, Catungawan Sur, 6310)
(954, 544-733-9453, 50.5580426, Russia, Волочаевское, 238346)
(955, 755-109-3869, 46.814102, China, Qianjin, )
(956, 512-754-1861, 56.0181995, Russia, Nevel’, 182520)
(957, 901-657-8726, 26.419602, China, Sankoutang, )
(958, 201-340-0933, 49.4434442, Czech Republic, Kyjov, 592 14)
(959, 267-217-9878, 23.12911, China, Yuanhou, )
(960, 205-594-0678, 50.6140977, France, Villeneuve-d'Ascq, 59663 CEDEX)
(961, 767-723-3822, 34.391746, Iran, Khondāb, )
(962, 405-763-5725, -7.62385, Indonesia, Mujur Satu, )
(963, 829-796-7584, 18.2447388, Dominican Republic, Majagual, 11604)
(964, 301-196-8569, 48.8270848, France, Champigny-sur-Marne, 94504 CEDEX)
(965, 574-300-6957, 56.72998, Latvia, Jaunpils, )
(966, 989-647-8196, 43.6356348, United States, Midland, 48670)
(967, 781-211-9765, 13.4767279, Guam, Guam Government House, 96928)
(968, 224-656-2117, -6.8939065, Indonesia, Pacar, )
(969, 798-357-1520, 6.8030255, Philippines, Tamisan, 6709)
(970, 491-142-6839, 48.375888, Russia, Vostok, 191023)
(971, , 41.6848051, , , 5430-236)
(972, 506-407-2343, -11.9929208, Peru, Independencia, )
(973, 522-669-3156, 41.0184587, Greece, Skoútari, )
(974, 546-259-4914, -12.0950161, Peru, Ccuntuma, )
(975, 115-250-4434, 43.42993, China, Xianyuan, )
(976, 795-314-4294, 58.0935206, Estonia, Räpina, )
(977, 279-360-7894, -6.1574525, Indonesia, Kalianyar Selatan, )
(978, 348-453-6673, 31.070643, China, Xiaogang, )
(979, 641-725-3912, 21.0744245, Saudi Arabia, Ash Shafā, )
(980, , 36.5072263, , , )
(981, 262-174-5110, 41.7811503, Portugal, Lameira, 4990-670)
(982, 468-326-4342, 49.4025357, Germany, Nürnberg, 90451)
(983, 892-835-7878, 15.3047612, Honduras, Tras Cerros, )
(984, 402-313-6358, -3.0029841, Indonesia, Kotabaru, )
(985, 679-396-0582, -8.4636, Indonesia, Golomunta, )
(986, 753-658-8711, 29.129743, China, Hegeng, )
(987, 779-841-7277, 49.7503184, Czech Republic, Hroznětín, 584 01)
(988, 221-223-1246, -22.075317, Brazil, Bariri, 17250-000)
(989, 992-616-4319, 38.3212968, Greece, Néa Palátia, )
(990, 214-523-6904, 10.265875, Philippines, Magallon Cadre, 6132)
(991, 828-537-0889, 35.370505, China, Kangle, )
(992, 674-480-2871, 63.1908332, Russia, Igrim, 628146)
(993, 528-427-1835, 28.697014, China, Nijiangping, )
(994, 510-482-8887, 42.4338529, Kazakhstan, Arys, )
(995, 804-987-5791, 35.529096, China, Wuxia, )
(996, 481-580-2471, 57.4167684, Russia, Privolzhsk, 155553)
(997, 142-473-5745, 38.234501, China, Anping, )
(998, 432-695-6098, 57.6073069, Sweden, Hovås, 436 54)
(999, 209-399-8766, 37.9642589, United States, Stockton, 95205)
(1000, 810-614-9581, -7.0848567, Indonesia, Jatiklampok, )
